clk reset hsync vsync blank hcnt vcnt   time(ns)
 0    0     x     x     x     x    x         0
 1    1     1     x     0     x    x        20
 0    1     1     x     0     x    x        40
 1    0     1     1     0    19   14        60
 0    0     1     1     0    19   14        80
 1    0     1     1     0    19   14       100
 0    0     1     1     0    19   14       120
 1    0     1     1     1     0    0       140
 0    0     1     1     1     0    0       160
 1    0     1     1     1     1    0       180
 0    0     1     1     1     1    0       200
 1    0     1     1     1     2    0       220
 0    0     1     1     1     2    0       240
 1    0     1     1     1     3    0       260
 0    0     1     1     1     3    0       280
 1    0     1     1     1     4    0       300
 0    0     1     1     1     4    0       320
 1    0     1     1     1     5    0       340
 0    0     1     1     1     5    0       360
 1    0     1     1     1     6    0       380
 0    0     1     1     1     6    0       400
 1    0     1     1     1     7    0       420
 0    0     1     1     1     7    0       440
 1    0     1     1     0     8    0       460
 0    0     1     1     0     8    0       480
 1    0     1     1     0     9    0       500
 0    0     1     1     0     9    0       520
 1    0     0     1     0    10    0       540
 0    0     0     1     0    10    0       560
 1    0     0     1     0    11    0       580
 0    0     0     1     0    11    0       600
 1    0     0     1     0    12    0       620
 0    0     0     1     0    12    0       640
 1    0     0     1     0    13    0       660
 0    0     0     1     0    13    0       680
 1    0     0     1     0    14    0       700
 0    0     0     1     0    14    0       720
 1    0     0     1     0    15    0       740
 0    0     0     1     0    15    0       760
 1    0     1     1     0    16    0       780
 0    0     1     1     0    16    0       800
 1    0     1     1     0    17    0       820
 0    0     1     1     0    17    0       840
 1    0     1     1     0    18    0       860
 0    0     1     1     0    18    0       880
 1    0     1     1     0    19    0       900
 0    0     1     1     0    19    0       920
 1    0     1     1     1     0    1       940
 0    0     1     1     1     0    1       960
 1    0     1     1     1     1    1       980
 0    0     1     1     1     1    1      1000
 1    0     1     1     1     2    1      1020
 0    0     1     1     1     2    1      1040
 1    0     1     1     1     3    1      1060
 0    0     1     1     1     3    1      1080
 1    0     1     1     1     4    1      1100
 0    0     1     1     1     4    1      1120
 1    0     1     1     1     5    1      1140
 0    0     1     1     1     5    1      1160
 1    0     1     1     1     6    1      1180
 0    0     1     1     1     6    1      1200
 1    0     1     1     1     7    1      1220
 0    0     1     1     1     7    1      1240
 1    0     1     1     0     8    1      1260
 0    0     1     1     0     8    1      1280
 1    0     1     1     0     9    1      1300
 0    0     1     1     0     9    1      1320
 1    0     0     1     0    10    1      1340
 0    0     0     1     0    10    1      1360
 1    0     0     1     0    11    1      1380
 0    0     0     1     0    11    1      1400
 1    0     0     1     0    12    1      1420
 0    0     0     1     0    12    1      1440
 1    0     0     1     0    13    1      1460
 0    0     0     1     0    13    1      1480
 1    0     0     1     0    14    1      1500
 0    0     0     1     0    14    1      1520
 1    0     0     1     0    15    1      1540
 0    0     0     1     0    15    1      1560
 1    0     1     1     0    16    1      1580
 0    0     1     1     0    16    1      1600
 1    0     1     1     0    17    1      1620
 0    0     1     1     0    17    1      1640
 1    0     1     1     0    18    1      1660
 0    0     1     1     0    18    1      1680
 1    0     1     1     0    19    1      1700
 0    0     1     1     0    19    1      1720
 1    0     1     1     1     0    2      1740
 0    0     1     1     1     0    2      1760
 1    0     1     1     1     1    2      1780
 0    0     1     1     1     1    2      1800
 1    0     1     1     1     2    2      1820
 0    0     1     1     1     2    2      1840
 1    0     1     1     1     3    2      1860
 0    0     1     1     1     3    2      1880
 1    0     1     1     1     4    2      1900
 0    0     1     1     1     4    2      1920
 1    0     1     1     1     5    2      1940
 0    0     1     1     1     5    2      1960
 1    0     1     1     1     6    2      1980
 0    0     1     1     1     6    2      2000
